"title","price","savings","rating","reviews-count","score","url","is-sponsored","is-amazon-choice","is-discounted","before-discount","amazon-id","thumbnail","high-res-image","short-description","full-description"
"Sponsored Ad - PRO365 Home Gym Ab Roller/Indoor Ab Wheel for Abs Workouts 6 Month Warranty/Dual Abdominal Exercise/Core Wo...","",999,4,13301,"53204.00","https://amazon.in/gp/bestsellers/sports/23034636031/ref=sr_bs_0_23034636031_1",true,false,true,"999","B09NBTYLYK","https://m.media-amazon.com/images/I/61HPuZLsTLL._AC_UL320_.jpg","https://m.media-amazon.com/images/I/61HPuZLsTLL.jpg","",""
"Sponsored Ad - FitBlaze Tummy Twister | Waist Trimmer | Ab Twister | Ab Roller | Tummy Twister Abdominal ABS Exerciser Bod...","",NaN,5,2,"10.00","https://amazon.in/sspa/click?ie=UTF8&spc=MTo4ODU4MTU5Mzc3ODkwMzY6MTY3NzU4MDYzNjpzcF9tdGY6MjAwOTgxODc4NDk3OTg6OjA6Og&url=%2FFitBlaze-Twister-Trimmer-Abdominal-Exerciser%2Fdp%2FB0BNHCPR8Q%2Fref%3Dsr_1_21_sspa%3Fkeywords%3Dab%26qid%3D1677580636%26sr%3D8-21-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1",false,false,true,"1,000","B0BNHCPR8Q","https://m.media-amazon.com/images/I/61cfzyeTF-L._AC_UL320_.jpg","https://m.media-amazon.com/images/I/61cfzyeTF-L.jpg"," About this item  TUMMY TWISTER DICS: Multiple workout options, target specific muscles or your whole body Reflexology. Combines the benefits of aerobic exercise with effective body shaping. STRENGTHENS YOUR AB & CORE: You will feel stronger in the stomach and back area as you continuously exercise with it just by turning and twisting. And you will eventually have more toner and stronger abdominal as you're working out. DELICATE DESIGN: The surface is with non-slippery design. With 8 magnets, the twisting Waist Disc will stimulate acupuncture points on the feet, promote blood circulation, promote good health and help you prevent slipping. APPLICABLE PERSON: The Tummy twister board is 9.8 inches and can support 120 kg. It can be applied to adults, the elderly after surgery, and children who exercise. FOOT MASSAGE: The Tummy Twister will massage and stimulate meridian points on the bottom of the feet and help promote good health. EASY TO CARRY: Tummy Twister Disc made of high quality materials, it is durable, lightweight and easy to carry in your Backpack. "," FIT BLAZE TUMMY TWISTERBenefit:1. Tummy Twister, through massage foot pathological reflex zones, twisting the waist movement, the friction heat, to the human body, the spiral occurred inside the cells of the secondary current, in the body into a warm, warm as produced by its current ""joule heat"" healthy body to produce, so warm, more can promote health.2. Tummy Twister, can make your waist, chest, legs are fully exercise so as to achieve thin waist leg, breast enhancement lipid-lowering, increase skin elasticity, if match the rhythm of the music, not only can increase the fun of exercise, and can make people relaxed and happy, comfortable health, remain plentiful energy.Matters needing attention:1. Please do not vigorous exercise within 30 minutes after a meal2. Please do not use on wet, uneven ground3. Fractures, surgery, or inflammation of the minor improvement cannot be used4. Heart patients, please consult your doctor before use, and when using twist from slow to fast, make the heart gradually, avoid sudden load5. Physical weaker or a beginner must be in the help of others or use with other armrest Pregnant women to avoid using,Overweight participants with caution.6. Action to avoid too intense, lest the center of gravity be unsteady or wrestling7. biggest bear weight:120kg"
"Sponsored Ad - PRO365 Combo Home Gym Equipment/Ab Roller and Push Up Bar/Calisthenics Equipment","",NaN,3.8,355,"1349.00","https://amazon.in/sspa/click?ie=UTF8&spc=MTo4ODU4MTU5Mzc3ODkwMzY6MTY3NzU4MDYzNjpzcF9tdGY6MjAwNTQ0NTg1OTgwOTg6OjA6Og&url=%2FPRO365-Workout-Equipment-Roller-Calisthenics%2Fdp%2FB09S3MKCLD%2Fref%3Dsr_1_22_sspa%3Fkeywords%3Dab%26qid%3D1677580636%26sr%3D8-22-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1",false,false,true,"1,598","B09S3MKCLD","https://m.media-amazon.com/images/I/71N1ixlDPuL._AC_UL320_.jpg","https://m.media-amazon.com/images/I/71N1ixlDPuL.jpg","",""
"FItcozi Hanging Straps/Knee Up Ab Straps Hanging/Hanging Ab Straps for Pull up Bar/Pull Up Arm Straps for Ab Workout - Stu...","",NaN,0,0,0,"https://amazon.in/FItcozi-Hanging-Straps-Knee-Workout/dp/B0BT9B4PM3/ref=sr_1_105?keywords=ab&qid=1677580681&sr=8-105",false,false,true,"2,599","B0BT9B4PM3","https://m.media-amazon.com/images/I/61XjtVDtAVL._AC_UL320_.jpg","https://m.media-amazon.com/images/I/61XjtVDtAVL.jpg"," About this item  STRENGTHEN ABS: Ab Hanging Straps are a truly viable tool that aids in lower body strength training more easily and quickly; Increase power, burn fat, sculpt abdominal muscles, and achieve your maximum potential without straining your back HANGING AB STRAPS WORKOUT: Extra Padding For More Comfort, Extremely Durable, High Quality, Good For Home Or Gym, Longer Straps Than The Others, Maximum Stability, Easy To Attach Every Pull Up Bar, PERFECTLY LARGE AB STRAP PADDING WITH COMFORT: Arm straps for ab workout feature 7,1 inch wide padding for full support for your arm and elbow; Also, with sufficient thickness, it gives advanced comfort so that you can focus on your exercise STURDY WITH HIGH LOAD CAPACITY: 10,00 pounds capacity carabiner and total load capacity up to 350 pounds (150 kilograms) make the hanging elbow straps perfect for different body types and long lasting equipment that supports every goal Have You Been Doing Countless Crunches Without Seeing Any Results? Then You Should Try HANGING LEG RAISES. You Will Be Activating Your Whole Core And Feel A Burn Like Never Before! ",""
"ALLYSON FITNESS Six Pack Abs Exerciser Ab King Pro Machine for Exercise and Fitness for Home and Gym Black","",NaN,3.1,23,"71.30","https://amazon.in/ALLYSON-FITNESS-Exerciser-Machine-Exercise/dp/B09DL2PZCG/ref=sr_1_174?keywords=ab&qid=1677580703&sr=8-174",false,false,true,"7,999","B09DL2PZCG","https://m.media-amazon.com/images/I/31XhGKgQRfL._AC_UL320_.jpg","https://m.media-amazon.com/images/I/31XhGKgQRfL.jpg"," About this item  *Power-Assisted Spring Mechanism: Designed with powerful& flexible spring to assist you in both directions, make it work as a personal trainer, targeting your upper, middle, lower abs and oblique, improve the workout efficiency in less time *Sturdy and Durable: Compact adjustable design consumes minimal space Solid Steel Frame used in this abs rocket chair *Highly Adjustable: Designed with 4 adjustable levels convenient for people of different heights comfortable position and targeting on thigh and Abdominal muscle, maximizing the workout efficiency *Multiple Exercise Modes: This Abdominal Trainer is designed to work your whole body, allow you to do sit-up exercise, target and tone those inner thighs and do assisted push-ups while working your core at the same time. Ideal for exercising different parts of your body, burning calories, muscle building and building up good body shape at home or office "," ALLYSON FITNESS Abdominal Trainer is designed to work your whole body, allow you to do sit-up exercise, target and tone those inner thighs and do assisted push-ups while working your core at the same time. Ideal for exercising different parts of your body, burning calories, muscle building and building up good body shape at home or office"
"Tummy Twister and Ab Wheel Roller Combo Abs Core Abdominal Workout Exercise Equipment Double Wheel Roller Cardio Fat Loss ...","",NaN,3.6,18,"64.80","https://amazon.in/Twister-Abdominal-Exercise-Equipment-Exerciser/dp/B09FF8FJV3/ref=sr_1_294?keywords=ab&qid=1677580830&sr=8-294",false,false,true,"1,999","B09FF8FJV3","https://m.media-amazon.com/images/I/61GwZN-nrgL._AC_UL320_.jpg","https://m.media-amazon.com/images/I/61GwZN-nrgL.jpg"," About this item  ✅Twist your way to slimmer abs, hips and thighs, Stimulates blood circulation; Massages the feet. ✅SHAPE AND TONING-This tummy twister helps you to tone up your body and be in shape by twisting this disc twice a day for 10 minutes daily.Tummy twister helps in tighten up your muscle and reduce body fat. It also works as waist trimmer and tummy trimmer and makes your tummy and body in attractive shape. ✅DOUBLE AB WHEEL ROLLER: This AB exercise equipment comes with dual wheels for excellent stability. They come independently with the package and give a broader base and more support to you as you stretch out and roll back to exercise and trim your tummy. ✅ULTIMATE ABDOMINAL EXERCISE EQUIPMENT: Dual AB Wheel is the home fitness equipment that can exercise your upper body, and is crafted to build your ABS, back, arms and shoulder muscles. The powerful rolling exercises can help reduce belly fat and carve perfect ABS. It gives you a total body workout, which is great for achieving peak fitness levels, from beginners to advanced trainers, men and women ✅PACKAGE INCLUDES :-1PC TUMMY TWISTER & 1PC AB WHEEL ROLLER WITH KNEE PAD ",""
"Truerevo Anti Skid Double Wheel Total Body AB Roller Exerciser for Abdominal Stomach Exercise Training with Knee Mat Steel...","",999,3.9,10,"39.00","https://amazon.in/RVX-Roller-Special-Double-Wheels/dp/B01H0DH2LY/ref=sr_1_295?keywords=ab&qid=1677580830&sr=8-295",false,false,true,"999","B01H0DH2LY","https://m.media-amazon.com/images/I/51tb4ukll0L._AC_UL320_.jpg","https://m.media-amazon.com/images/I/51tb4ukll0L.jpg"," About this item  Two wheels High Grip Rubber Wheels Rubber based handles Tone your abs using this tool "," This unique product works on strengthening your core muscles, bringing you closer to attaining that perfect six pack. The non-slip wheel makes it easy to stop and start your ab roller motion without straining your back."
"Ab Cruncher Exercise Equipment for Home Workouts - Sit Up Bar for Floor With Suction Pad - Ab Trainer Fitness Equipment fo...","",0,3.3,93,"306.90","https://amazon.in/Cruncher-Exercise-Equipment-Home-Workouts/dp/B08H8564GB/ref=sr_1_296?keywords=ab&qid=1677580830&sr=8-296",false,false,false,"","B08H8564GB","https://m.media-amazon.com/images/I/71sE5DYw-KL._AC_UL320_.jpg","https://m.media-amazon.com/images/I/71sE5DYw-KL.jpg"," About this item  ERGONOMICALLY DESIGNED - The double-row support rods of this situp foot holder provide extra downforce and more efficiency. The ab crunch machine’s high-density soft foam-covered handle regulates traction on the feet and protects the ankles from injuries. GREATER STABILITY - The abs workout sit up assistant device’s large single-suction cup which measures 5.7” x 4.5” is made from extra-thick rubber and offers a load capacity of up to 198 lbs. MULTIPURPOSE - Our ab rocker abdominal exercise equipment is the perfect tool to help you perform better situps, sidekicks, elbow planks, pushups, crunches, and much more. You can use this ab workout machine to work out in the comfort of your own home. EXPANDABLE HEIGHT - The crunch bar upper body exercise equipment comes with 3 different height adjustments making this abs trainer at home workout equipment suitable for the whole family. EASY INSTALLATION - This ab machine can easily be installed at home without the need for any tools. Simply place the situp bar on a clean, flat surface, prass it down, and push the locking lever down to lock securely in place. ",""
"AB FITNESS 10kg PVC-DM (5kg x 2 = 10kg)Dumbbells Set and Fitness Kit for Men and Women Whole Body Workout Black.","",NaN,0,0,0,"https://amazon.in/AB-FITNESS-Dumbbells-Fitness-Workout/dp/B0BSSCMDN3/ref=sr_1_297?keywords=ab&qid=1677580830&sr=8-297",false,false,true,"1,999","B0BSSCMDN3","https://m.media-amazon.com/images/I/61olR0LpS9L._AC_UL320_.jpg","https://m.media-amazon.com/images/I/61olR0LpS9L.jpg"," About this item  A perfect muscle builder. A combination of gym equipment for the perfect workout. Highly durable and long lasting. 5 kg x 2 PVC dumbbells In-Box Contents: 5 kg x 2 PVC Dumbbells "," In-Box Contents: 5 kg x 2 PVC Dumbbells"
"Arcanine Ab Workout Equipment Ab Exercise Equipment Ab Innovative Ergonomic Abdominal - Ab Puch up Stand for Home Gym","",NaN,0,0,0,"https://amazon.in/Arcanine-Equipment-Innovative-Ergonomic-Abdominal/dp/B0BFL29WDH/ref=sr_1_298?keywords=ab&qid=1677580830&sr=8-298",false,false,true,"1,099","B0BFL29WDH","https://m.media-amazon.com/images/I/41SF+atyP-S._AC_UL320_.jpg","https://m.media-amazon.com/images/I/41SF+atyP-S.jpg"," About this item  ADJUTABLE: Sit-up machine can adjusts to three different gears for any foot size by flexible spring buckle, helping to hold your feet in place during exercise. SUPERIOR MATERIAL: Selected super-elastic wear-resistant eco-friendly foam materail, comfortable and safe, ptotect the instep from pain, as well as not hurt your foot. WIDE USE: Can be used for roll belly movement, push-ups, side kick, sit-ups ,stretching back,elbow plank,press-up to exercise the abdomen and tighten the whole body muscles, yoga exercise hands and legs, a variety of functions application. Suitable for fitness men & women. Can be used for sit-ups to exercise the abdomen, flat support exercise, waist and buttocks to tighten the whole body muscles, yoga exercise hands and legs, a variety of functions application. EASY INSTALLATION: Small occupation, easy to install and disassemble, quickly assembly simply take a few minutes, convenient to use. "," Abdominal and Core Exercise Roller Wheel Description:★ Comfortable non-slip handle: Double thick foam, soft and comfortable, good grip, non-slip and sweat-absorbent; ★ Ergonomic Patent Pending 4-Wheels System : Triangular structure provide excellent overall rolling motion stability; ★ Non-slip design：Anti-skid stripe on the rear wheel, wear-resistant and non-slip; ★ Safe and stable： Removable bearing solid nut, solid material, safe and practical. ★ Lightweight and compact abs roller, easy to assemble and convenient to use and carry. Perfect for travel. ★ The ab wheel roller can be used on any surface including hardwood flooring, carpet and cement flooring etc.Benefits:The ab wheel works much more than just your abdominal exercise. Your entire core, which includes your obliques, lower back, hips and the deeper layers of core musculature, all get hit very hard during rollout exercise. It improves posture. Most people suffer from poor posture : too much sitting and not enough activity or exercise. Then ab roller wheel can help to improve bad posture and enhance good posture even further. Reduce or prevent back pain. Rollouts are an anti-extension exercise and will strengthen those exact muscles that are likely to be weak and causing back pain.:: Features ::Product Features: Round, Removable,4 Wheels Is More Stable Than 3 Wheels. Roller Inner Ring: Environmental Engineering Plastics. Bear Weight: 400 Kg. Roller Diameter: Super Soft PVC. Steel Pipe: Upset Just Now. The Wheel Diameter: Rear Wheel 7 Cm Front Wheel 6 Cm. Handle: Soft Foam. Applicable People: For Fitness Enthusiasts ."
"Protoner FLTBNCH Weight Training Fitness Bench","",NaN,3.2,5130,"16416.00","https://amazon.in/Protoner-PRSITUP-Adjustable-Sit-up-Cruncher/dp/B01FSQFT9W/ref=sr_1_299?keywords=ab&qid=1677580830&sr=8-299",false,false,true,"5,999","B01FSQFT9W","https://m.media-amazon.com/images/I/51iyJJ4LNXL._AC_UL320_.jpg","https://m.media-amazon.com/images/I/51iyJJ4LNXL.jpg"," About this item  Different adjustment levels Seat length 42 inches Seat width 12 inches Material: Blend In-Box Contents: 1 Adjustable Sit-up Bench Ab Cruncher ",""
"Jukusa Assistive Abdominal Arm and Chest Muscles Exercise Adjustable Fitness Equipment Suction Cup Home Workout Healthy Ab...","",NaN,3.8,297,"1128.60","https://amazon.in/Jukusa-Assistive-Abdominal-Adjustable-Multicolor/dp/B091QC65QZ/ref=sr_1_300?keywords=ab&qid=1677580830&sr=8-300",false,false,true,"1,499","B091QC65QZ","https://m.media-amazon.com/images/I/61nX-qFqz7L._AC_UL320_.jpg","https://m.media-amazon.com/images/I/61nX-qFqz7L.jpg"," About this item  ✔ KEEP FIT AT HOME: this portable home gym gear help you to exercise your Abs core muscles, exercise your arms, legs, waist and buttock to reduce abdominal fat and shape your body, also aid you to complete a variety of actions easily. A perfect tool help you to Strengthens and firms abdominal core muscles. ✔ SIT UPS PUSH-UPS ASSISTANT DEVICE: A set of equipment can carry out a variety of sports, such as sit-ups, flat support, push-ups and so on. A variety of fitness methods, for different parts,where to thin where to practice. ✔ FOUR HEIGHT ADJUSTMENTS: Can be adjusted according to your height. Press the spring buckle inwards while holding the bar to pull up or down to adjust the height. Also by adjust the height, be multiuse in helping you complete roll belly movement, push-ups, side kick, sit-ups, stretching back, elbow plank, press-up, swallow of training and other sports. ✔ EASY INSTALLATION :The foot sit up Bar is very easy for home installation without need any tools, it with 13cm bottom sucker,only to find a dry and clean flat ground,then put down the sit up bar on the ground,pull down the lock. Last adjust the gear position. ✔ FULL BODY EXERCISE : With reference to the training manual, you can do sit-ups, push-ups, hip bridges, side-lifting legs, flat support, etc. to exercise your waist, abdomen, arms, legs, buttocks, and to a certain extent can also. ",""
"Inditradition Dual Ab Roller Wheels for Abdominal Exercise, Home Gym | Free Knee-mat (Random Colour)","",500,3.9,326,"1271.40","https://amazon.in/Inditradition-Wheel-Roller-Blue-Black/dp/B01HWWO0TK/ref=sr_1_301?keywords=ab&qid=1677580830&sr=8-301",false,false,true,"500","B01HWWO0TK","https://m.media-amazon.com/images/I/71JKEziC-dL._AC_UL320_.jpg","https://m.media-amazon.com/images/I/71JKEziC-dL.jpg"," About this item  A perfect total body home workout equipment. Strengthens and tones abs, upper body muscles, shoulders, arms and back. You will burn more calories doing exactly the same exercise as you have always been doing and take your workout to the next level Control the degree of your workout by rolling the wheels closer or farther from your body as per the stretch capacity. Dual wheel offers more stability, control and balance 6 MM Premium Knee Mat, Protect your knees during work out & light stainless steel rod which can bear up to 100 kg weight easily. Anti-skid kneepad helps in easy movement of the body by keeping you stable at one place through knees Comes with lightweight stainless steel rod to hold the wheels. The rod is covered with anti-slip cover for easy gripping. Wheels are made up of premium quality ABS plastic for long lasting service Quick Installation in no time, just stick 2 rollers together and apply closure on both ends on the rod. Pack Contents: 1 Unit x Ab Wheel Roller + 1 Pcs x Knee Mat ",""
"Doliva Sit Up Assistant Home Gym Equipment for Men & Women Body Fitness Situps and Pushups Exercise Home Gym Equipments Ac...","",999,2,2,"4.00","https://amazon.in/Doliva-Assistant-Equipments-Accessories-Multicolor/dp/B09G6T7MZ4/ref=sr_1_302?keywords=ab&qid=1677580830&sr=8-302",false,false,true,"999","B09G6T7MZ4","https://m.media-amazon.com/images/I/61tQf8cEeQL._AC_UL320_.jpg","https://m.media-amazon.com/images/I/61tQf8cEeQL.jpg"," About this item  HIGHLY ADJUSTABLE: Sit-up machine can adjusts to three different gears for any foot size by flexible spring buckle, helping to hold your feet in place during exercise. MATERIAL: Selected super-elastic wear-resistant Sweat proof eco-friendly foam material, comfortable and safe, protect the instep from pain, as well as not hurt your foot, Flexible switch, easy to adjust the height of the slimmer, suitable for men and women exercise. IDLE USE: Sit up Can be used for roll belly movement, push-ups, side kick, sit-ups, stretching back, elbow plank, press-up to exercise the abdomen and tighten the whole body muscles, yoga exercise hands and legs, a variety of functions application, Sit-ups equipment is very convenient to use and can be used for doing sit ups on a regular basis. Convenient for doing sit-ups every day, especially for busy people who don't have so much time doing exercise. This sit up bar can help you exercise different muscles of your body like your arms, shoulders, back, legs, waist etc. EASY INSTALLATION: Small occupation, easy to install and disassemble, quickly assembly simply take a few minutes, convenient to use. a variety of functions application. Suitable for fitness men & women. ",""
