"title","price","savings","rating","reviews-count","score","url","is-sponsored","is-amazon-choice","is-discounted","before-discount","amazon-id","thumbnail","high-res-image","short-description","full-description"
"Flemish Rose (Mira Botanica) Mini Day-at-a-Time Planner 2023: Hardcover, 80 gsm, Day to a Page Layout, elastic closure","",0,5,11,"55.00","https://amazon.in/Flemish-Botanica-Day-at-Time-Planner/dp/1439785252/ref=sr_1_73?keywords=at&qid=1677582007&sr=8-73",false,false,false,"","1439785252","https://m.media-amazon.com/images/I/71Khjsv6FPL._AC_UL320_.jpg","https://m.media-amazon.com/images/I/71Khjsv6FPL.jpg","",""
"The Waves - Volume 4 (Virginia Woolf’s Notebooks) Mini Day-at-a-Time Planner 2023: Hardcover, 80 gsm, Day to a Page Layou...","",0,5,1,"5.00","https://amazon.in/Waves-Notebooks-Day-at-Time-Hardcover/dp/1439785287/ref=sr_1_88?keywords=at&qid=1677582007&sr=8-88",false,false,false,"","1439785287","https://m.media-amazon.com/images/I/8179pTpEbYL._AC_UL320_.jpg","https://m.media-amazon.com/images/I/8179pTpEbYL.jpg","",""
"They Both Die at the End","",399,4.5,34274,"154233.00","https://amazon.in/They-Both-Die-at-End/dp/1471166201/ref=sr_1_19?keywords=at&qid=1677581955&sr=8-19",false,false,true,"399","1471166201","https://m.media-amazon.com/images/I/41mi31dKu2L._AC_UL320_.jpg","https://m.media-amazon.com/images/I/41mi31dKu2L.jpg","",""
"Two Seahorses Hippocampus at a Zoo Aquarium Marine Fish Journal: Lined Notebook/Diary","",709,0,0,0,"https://amazon.in/Seahorses-Hippocampus-Aquarium-Marine-Journal/dp/1541142098/ref=sr_1_184?keywords=at&qid=1677582317&sr=8-184",false,false,true,"709","1541142098","https://m.media-amazon.com/images/I/51ZBUSojrYL._AC_UL320_.jpg","https://m.media-amazon.com/images/I/51ZBUSojrYL.jpg","",""
"Life is too short to spend it at war with yourself.: Motivational, Inspirational and Uplifting Notebook / Journal / Diary...","",0,0,0,0,"https://amazon.in/Life-short-spend-yourself-Inspirational/dp/1696333946/ref=sr_1_56?keywords=at&qid=1677582007&sr=8-56",false,false,false,"","1696333946","https://m.media-amazon.com/images/I/615tpyUEZmL._AC_UL320_.jpg","https://m.media-amazon.com/images/I/615tpyUEZmL.jpg","",""
"The House At Seas End","",250,4.8,27,"129.60","https://amazon.in/The-House-At-Seas-End/dp/1784299081/ref=sr_1_104?keywords=at&qid=1677582073&sr=8-104",false,false,true,"250","1784299081","https://m.media-amazon.com/images/I/71bms75dJCL._AC_UL320_.jpg","https://m.media-amazon.com/images/I/71bms75dJCL.jpg","",""
"Scary stories for children (Japanese Edition)","",0,3.8,13,"49.40","https://amazon.in/Scary-stories-children-Japanese-hal-ebook/dp/B00NH3GL50/ref=sr_1_193?keywords=at&qid=1677582387&sr=8-193",false,false,false,"","B00NH3GL50","https://m.media-amazon.com/images/I/81nWxBfDtwL._AC_UL320_.jpg","https://m.media-amazon.com/images/I/81nWxBfDtwL.jpg",,
"ALOGIC 2 Port 17W USB-C & USB-A Mini Wall Charger, 2-x USB Ports in one Plug, 1 x USB-A at 12W, 1x USB-C at 15W, Compact S...","",0,5,2,"10.00","https://amazon.in/ALOGIC-Port-USB-C-USB-Charger/dp/B07Z7ZNN59/ref=sr_1_194?keywords=at&qid=1677582387&sr=8-194",false,false,false,"","B07Z7ZNN59","https://m.media-amazon.com/images/I/41qTfDVPmgL._AC_UL320_.jpg","https://m.media-amazon.com/images/I/41qTfDVPmgL.jpg",,
"ZUCLLIN® Hair Care Thermal Head Cap And Hand Held Scalp Head Massager for Pain Relief Steamer For Spa At Home Treatment wi...","",999,3.7,29,"107.30","https://amazon.in/ZUCLLIN%C2%AE-Thermal-Massager-Treatment-Nourishing/dp/B08ZSNWZ67/ref=sr_1_183?keywords=at&qid=1677582317&sr=8-183",false,false,true,"999","B08ZSNWZ67","https://m.media-amazon.com/images/I/51FVXljy39L._AC_UL320_.jpg","https://m.media-amazon.com/images/I/51FVXljy39L.jpg"," About this item  High Performance- It's a flame-retardant electronic temperature control heating cap, offer the maximum comfort and safety for you. Ideal For Health Care, Massage Tips Are Made Of Solid Synthetic Resin, Very Smooth Textured Stainless Steel Wire, Easy To Use. Temperature Control with 3 Mode temperature control, allow you to freely adjust the suitable temperature according to your needs. This scalp massager can quickly, and effectively relax stressed muscles and may even relieve aches and pains, especially headaches and migraines. It also provides proper blood circulation. Ideal massage choice by your own. Multi functional- Effectively help to improve hair split ends and repair hair damage, makes your hair regain silky in no time. ",""
"AT TECH Electric Rechargeable Mosquito Bat Racket Fly Swatter. (Multi-Color) (Qty. - 1 Pcs.)","",799,3.5,33,"115.50","https://amazon.in/AT-TECH-Rechargeable-Flyswatter-Multi-Color/dp/B09DPGHM3R/ref=sr_1_196?keywords=at&qid=1677582387&sr=8-196",false,false,true,"799","B09DPGHM3R","https://m.media-amazon.com/images/I/41207Pxoc6L._AC_UL320_.jpg","https://m.media-amazon.com/images/I/41207Pxoc6L.jpg",,
